Pelanggan ke-,Waktu Kedatangan,Waktu Mulai dilayani,Waktu selesai dilayani
291,13.34.41,13.34.41,13.35.39
292,13.35.26,13.35.39,13.35.48
293,13.49.20,13.49.20,13.49.36
294,14.01.31,14.01.31,14.01.34
295,14.03.06,14.03.06,14.03.34
296,14.04.42,14.04.42,14.04.53
297,14.05.07,14.05.07,14.05.12
298,14.07.37,14.07.37,14.08.15
299,14.09.23,14.09.23,14.09.36
300,14.10.23,14.10.23,14.10.58
301,14.12.56,14.12.56,14.13.03
302,14.15.00,14.15.00,14.15.26
303,14.16.14,14.16.14,14.16.45
304,14.16.47,14.16.47,14.16.50
305,14.19.22,14.19.22,14.19.38
306,14.21.36,14.21.36,14.21.42
307,14.24.31,14.24.31,14.24.34
308,14.26.19,14.26.19,14.29.23
309,14.30.58,14.30.58,14.31.13
310,14.31.19,14.31.19,14.32.25
311,14.31.52,14.32.25,14.32.37
312,14.32.25,14.32.37,14.33.23
313,14.32.56,14.33.23,14.34.20
314,14.33.15,14.34.20,14.34.56
315,14.36.41,14.36.41,14.37.07
316,14.37.21,14.37.21,14.37.43
317,14.38.14,14.38.14,14.38.31
318,14.39.36,14.39.36,14.41.22
319,14.41.44,14.41.44,14.42.55
320,14.42.51,14.42.55,14.45.09
321,14.43.33,14.45.09,14.45.15
322,14.44.15,14.45.15,14.46.07
323,14.46.11,14.46.11,14.48.02
324,14.47.41,14.48.02,14.48.10
325,14.50.08,14.50.08,14.50.11
326,14.57.16,14.57.16,14.58.10
327,14.57.44,14.58.10,14.58.44
328,14.58.32,14.58.44,14.59.58
329,15.00.51,15.00.51,15.00.57
330,15.01.05,15.01.05,15.02.09
331,15.01.23,15.02.09,15.02.18
332,15.01.35,15.02.18,15.02.25
333,15.02.26,15.02.26,15.02.33
334,15.02.43,15.02.43,15.03.50
335,15.02.45,15.03.50,15.04.34
336,15.04.09,15.04.34,15.05.03
337,15.04.13,15.05.03,15.05.21
338,15.04.16,15.05.21,15.06.45
339,15.05.39,15.06.45,15.07.05
340,15.05.52,15.07.05,15.08.13
341,15.06.02,15.08.13,15.08.36
342,15.06.57,15.08.36,15.08.55
343,15.09.46,15.09.46,15.10.11
344,15.10.23,15.10.23,15.10.37
345,15.11.44,15.11.44,15.12.39
346,15.14.51,15.14.51,15.15.19
347,15.16.54,15.16.54,15.17.04
348,15.19.07,15.19.07,15.20.39
349,15.21.21,15.21.21,15.21.40
350,15.22.28,15.22.28,15.22.59
351,15.23.09,15.23.09,15.24.44
352,15.23.17,15.24.44,15.25.23
353,15.23.54,15.25.23,15.25.28
354,15.25.10,15.25.28,15.27.20
355,15.26.01,15.27.20,15.28.00
356,15.27.29,15.28.00,15.28.16
357,15.28.24,15.28.24,15.28.30
358,15.28.26,15.28.30,15.29.33
359,15.29.29,15.29.33,15.30.11
360,15.30.10,15.30.11,15.30.42
361,15.32.43,15.32.43,15.34.13
362,15.34.31,15.34.31,15.35.33
363,15.35.08,15.35.33,15.35.39
364,15.36.56,15.36.56,15.37.11
365,15.37.32,15.37.32,15.37.43
366,15.38.05,15.38.05,15.39.00
367,15.38.32,15.39.00,15.39.03
368,15.38.35,15.39.03,15.39.36
369,15.39.30,15.39.36,15.40.34
370,15.40.58,15.40.58,15.42.21
371,15.42.12,15.42.21,15.42.38
372,15.45.27,15.45.27,15.46.36
373,15.48.51,15.48.51,15.48.55
374,15.50.40,15.50.40,15.51.55
375,15.51.18,15.51.55,15.52.01
376,15.51.22,15.52.01,15.52.21
377,15.54.18,15.54.18,15.55.22
378,15.56.23,15.56.23,15.56.30
379,15.56.28,15.56.30,15.56.40
380,15.57.39,15.57.39,15.58.30
381,16.07.05,16.07.05,16.07.56
382,16.10.38,16.10.38,16.11.19
383,16.16.55,16.16.55,16.17.42
384,16.20.26,16.20.26,16.20.57
385,16.22.18,16.22.18,16.22.30
386,16.24.45,16.24.45,16.25.01
387,16.25.43,16.25.43,16.25.51
388,16.37.43,16.37.43,16.39.19
389,16.41.47,16.41.47,16.42.22
390,16.44.05,16.44.05,16.44.26
391,16.45.01,16.45.01,16.45.26
392,16.46.34,16.46.34,16.48.32
393,16.48.11,16.48.32,16.48.38
394,16.48.23,16.48.38,16.49.13
395,16.51.29,16.51.29,16.51.57
396,16.52.38,16.52.38,16.53.15
397,16.55.49,16.55.49,16.55.52
398,16.59.24,16.59.24,17.00.47
